-11.571305,-0.919592,-6.057924,0.709216,0.076269,0.089325,-9.343029,1.664572,1.169728,0.012358,-0.003509,0.004655,-8.588143,-0.316922,-1.135579,0.054995,0.338603,-0.287379,-9.44853,-0.03653,0.781366,0.010673,-0.002666,0.004273,-9.450499,0.220718,0.416036,-0.006323,-0.014782,0.00124,0.683898,-0.331878,0.626961,0.170473,-0.292324,-0.656687,-0.134286,0.682111,-0.010956,0.688429,-0.126112,-0.714172,0.400689,-0.571493,0.36903,0.613727,-0.349484,0.596792,-0.353859,-0.629669
-8.664892,-3.464357,-0.140827,-0.441265,-0.744008,0.998925,-9.328641,1.716875,1.15405,0.034406,-0.002519,0.006409,-8.612205,-1.371023,-2.265805,-0.171737,0.763951,-0.75527,-9.436227,-0.048734,0.775218,0.024542,-0.003213,0.004802,-9.488101,0.173852,0.440449,-0.005255,-0.010423,0.004359,0.681863,-0.332473,0.627156,0.176635,-0.292267,-0.656724,-0.134166,0.682123,-0.013322,0.692953,-0.122146,-0.710435,0.400828,-0.571374,0.3692,0.613645,-0.349456,0.596754,-0.353802,-0.629753
-2.225917,-2.905849,5.069796,1.379161,-1.63902,0.403356,-9.403163,1.790116,1.123081,0.036891,-0.004464,0.006026,-8.607731,-1.712602,-1.808883,-0.235545,0.847113,-0.911047,-9.50937,-0.061037,0.7384,0.036821,-0.004264,0.005341,-9.518835,0.0957,0.474129,-0.007391,0.000171,0.006323,0.689691,-0.322425,0.622823,0.180169,-0.292161,-0.656775,-0.134,0.682153,-0.016242,0.698443,-0.116186,-0.705985,0.401021,-0.571211,0.369437,0.613528,-0.349391,0.596752,-0.353773,-0.629807
-12.405843,-5.642369,7.601578,3.011907,-1.651509,-1.258057,-9.441967,1.745659,1.0564,0.031742,-0.008545,0.005724,-9.084448,-0.533679,0.138798,-0.139386,0.617927,-0.887496,-9.588661,-0.061037,0.81164,0.038992,-0.003752,0.0064,-9.507611,0.125987,0.513689,0.00406,-0.002136,0.003033,0.707378,-0.310754,0.613274,0.164145,-0.292086,-0.656797,-0.133843,0.682195,-0.019737,0.703104,-0.110353,-0.702195,0.40124,-0.571024,0.3697,0.6134,-0.349351,0.596757,-0.35377,-0.629826
-1.119109,0.055593,8.706389,2.446796,1.55141,-0.61014,-9.515207,1.814525,1.033251,0.032428,-0.006792,0.000766,-10.192105,1.658248,3.550165,0.107988,0.221079,-0.641171,-9.698627,-0.036828,0.964076,0.036326,-0.001616,0.009613,-9.4456,0.26417,0.510757,0.029866,0.000769,-0.000256,0.709105,-0.300376,0.620552,0.147848,-0.291994,-0.656817,-0.13371,0.682241,-0.023659,0.705407,-0.10684,-0.700304,0.401427,-0.570846,0.369974,0.613279,-0.349439,0.596707,-0.353863,-0.629773
-15.113282,-2.156222,2.35921,1.450139,1.155578,-0.308663,-9.546189,1.735642,1.097729,0.028155,-0.001835,-0.010408,-10.228363,4.288412,4.93768,0.230382,-0.064934,-0.305285,-9.771972,-0.079186,1.11055,0.035249,0.003724,0.00535,-9.422159,0.366222,0.462903,0.043366,0.023756,-0.007563,0.705328,-0.294966,0.631218,0.130655,-0.291865,-0.656839,-0.133655,0.682286,-0.027037,0.705667,-0.105837,-0.700073,0.401603,-0.570702,0.370242,0.613135,-0.3496,0.596705,-0.354077,-0.629565
-10.995013,-2.480483,3.198945,0.949896,0.378151,-0.169993,-9.511758,1.671162,1.2342,0.01542,0.007778,-0.023417,-10.292694,5.10542,2.964544,0.419,-0.206134,-0.002928,-9.747557,-0.152538,1.238887,0.046441,0.012269,-0.004783,-9.377242,0.366222,0.450696,0.036403,0.023499,-0.005084,0.706229,-0.290265,0.633658,0.124352,-0.291707,-0.656874,-0.133742,0.682302,-0.029577,0.704671,-0.107414,-0.700733,0.401833,-0.570596,0.370534,0.612908,-0.349721,0.596759,-0.35428,-0.629333
-10.474257,-2.412943,2.034818,1.094906,0.232582,-0.133385,-9.501751,1.637988,1.398495,-0.00624,0.019526,-0.033028,-10.550359,3.954113,0.811437,0.654703,-0.320893,0.192838,-9.674648,-0.158696,1.184343,0.054466,0.010681,-0.018668,-9.491988,0.379406,0.401868,0.037556,0.027045,0,0.707306,-0.285378,0.635923,0.117814,-0.291584,-0.656916,-0.13401,0.682262,-0.032477,0.70279,-0.111597,-0.701838,0.402166,-0.570503,0.370817,0.612603,-0.349813,0.596799,-0.354511,-0.629113
-10.954073,-0.609423,1.388991,1.293537,0.128791,-0.092651,-9.410684,1.559127,1.559377,-0.034779,0.021363,-0.033989,-10.112687,1.883477,0.193948,0.382264,-0.380616,0.242746,-9.534568,-0.158813,1.038098,0.043327,0.006958,-0.026164,-9.63651,0.391611,0.36038,0.039351,0.033755,-0.002136,0.709479,-0.279001,0.637651,0.110449,-0.291589,-0.656909,-0.134463,0.682178,-0.034139,0.700363,-0.115443,-0.703562,0.402534,-0.570438,0.371025,0.612297,-0.349896,0.596869,-0.354771,-0.628855
-11.052914,0.523868,1.605754,0.870526,-0.107906,0.011666,-9.355268,1.535934,1.651412,-0.045844,0.014848,-0.026405,-10.071108,0.561139,-0.242304,0.144845,-0.328637,0.227873,-9.369482,-0.085692,0.87325,0.001194,0.002157,-0.022991,-9.643848,0.4009,0.305185,0.03696,0.011457,0.000255,0.711891,-0.273269,0.638308,0.105345,-0.291694,-0.656855,-0.134951,0.682088,-0.034258,0.698209,-0.117704,-0.70532,0.402758,-0.570459,0.371051,0.612114,-0.350002,0.59688,-0.354985,-0.628664
-10.266439,-0.158034,0.957797,0.144873,-0.288456,0.068706,-9.340862,1.548142,1.595757,-0.067891,-0.002541,-0.016984,-10.007836,0.485127,-0.138852,0.154514,-0.312731,0.203307,-9.289954,-0.048709,0.769187,-0.057533,-0.007456,-0.014975,-9.592108,0.356518,0.319333,0.02299,-0.01709,0.006409,0.713802,-0.270935,0.637317,0.104441,-0.291966,-0.656685,-0.135466,0.682034,-0.034223,0.696222,-0.119581,-0.706968,0.402723,-0.570592,0.370819,0.612154,-0.350119,0.596752,-0.355094,-0.62866
