Time_ms,LFA_AccX,LFA_AccY,LFA_AccZ,LFA_GyrX,LFA_GyrY,LFA_GyrZ,LFA_QuatW,LFA_QuatX,LFA_QuatY,LFA_QuatZ,RFA_AccX,RFA_AccY,RFA_AccZ,RFA_GyrX,RFA_GyrY,RFA_GyrZ,RFA_QuatW,RFA_QuatX,RFA_QuatY,RFA_QuatZ,LA_AccX,LA_AccY,LA_AccZ,LA_GyrX,LA_GyrY,LA_GyrZ,LA_QuatW,LA_QuatX,LA_QuatY,LA_QuatZ,RA_AccX,RA_AccY,RA_AccZ,RA_GyrX,RA_GyrY,RA_GyrZ,RA_QuatW,RA_QuatX,RA_QuatY,RA_QuatZ,W_AccX,W_AccY,W_AccZ,W_GyrX,W_GyrY,W_GyrZ,W_QuatW,W_QuatX,W_QuatY,W_QuatZ
0.00,-1.7486944198608398,9.57209587097168,0.5507667660713196,13.685702323913574,-16.92650604248047,-23.90224266052246,0.513277530670166,0.4069368839263916,0.5735509395599365,0.4919280409812927,2.9930357933044434,7.849183082580566,4.320374965667725,89.39867401123047,1.4918218851089478,-6.816025733947754,0.7897202968597412,0.424985408782959,-0.3302200734615326,-0.2944163978099823,2.5932083129882812,9.03292465209961,-1.9280251264572144,-18.842042922973633,-1.2662824392318726,-19.95006561279297,0.6126742362976074,0.7206780314445496,-0.3054952025413513,-0.10927386581897736,-1.3858462572097778,9.724702835083008,1.2815008163452148,49.27279281616211,48.105445861816406,-12.516489028930664,0.5253168940544128,0.5765840411186218,-0.3312211334705353,-0.5309370756149292,0.8012771606445312,10.09749698638916,0.3694230616092682,-22.229434967041016,-14.787810325622559,-15.569100379943848,-0.2407943606376648,-0.20458883047103882,0.6513002514839172,0.6899051070213318
16.67,-1.7486944198608398,9.57209587097168,0.5507667660713196,13.685702323913574,-16.92650604248047,-23.90224266052246,0.513277530670166,0.4069368839263916,0.5735509395599365,0.4919280409812927,2.5518832206726074,8.026592254638672,4.863144397735596,90.6085433959961,6.4887542724609375,-13.503546714782715,0.7836652994155884,0.43658390641212463,-0.3323375880718231,-0.29122453927993774,2.5932083129882812,9.03292465209961,-1.9280251264572144,-18.842042922973633,-1.2662824392318726,-19.95006561279297,0.6126742362976074,0.7206780314445496,-0.3054952025413513,-0.10927386581897736,-1.3858462572097778,9.724702835083008,1.2815008163452148,49.27279281616211,48.105445861816406,-12.516489028930664,0.5253168940544128,0.5765840411186218,-0.3312211334705353,-0.5309370756149292,0.8012771606445312,10.09749698638916,0.3694230616092682,-22.229434967041016,-14.787810325622559,-15.569100379943848,-0.2407943606376648,-0.20458883047103882,0.6513002514839172,0.6899051070213318
33.33,-1.5905929803848267,9.59077262878418,0.594022274017334,14.635814666748047,-19.70631217956543,-24.18099594116211,0.5157660245895386,0.4071798026561737,0.5746691823005676,0.4878016412258148,2.5518832206726074,8.026592254638672,4.863144397735596,90.6085433959961,6.4887542724609375,-13.503546714782715,0.7836652994155884,0.43658390641212463,-0.3323375880718231,-0.29122453927993774,2.6032586097717285,9.028164863586426,-1.9668196439743042,-18.512460708618164,-4.2925591468811035,-20.433252334594727,0.6142213344573975,0.7197508811950684,-0.30345338582992554,-0.11234596371650696,-1.50080144405365,9.754037857055664,1.3310128450393677,44.429168701171875,55.979248046875,-8.372444152832031,0.5235211849212646,0.5846090912818909,-0.3297645151615143,-0.5248066186904907,0.7620807886123657,9.968713760375977,0.2573796510696411,-25.837785720825195,-13.547842025756836,-16.96609878540039,-0.23875175416469574,-0.20408213138580322,0.6485500931739807,0.6933474540710449
50.00,-1.5045545101165771,9.616227149963379,0.7164031267166138,14.999959945678711,-20.74366569519043,-24.386037826538086,0.5183213353157043,0.40749630331993103,0.5757330656051636,0.4835558533668518,2.375051975250244,8.399542808532715,5.667540550231934,84.53717041015625,6.1707329750061035,-22.62410545349121,0.7774549722671509,0.44783997535705566,-0.3335953652858734,-0.2893337309360504,2.6138694286346436,8.952543258666992,-2.1202921867370605,-17.612979888916016,-8.119285583496094,-20.374114990234375,0.6154959201812744,0.7188267111778259,-0.3017691969871521,-0.11577177047729492,-1.429330825805664,9.86215877532959,1.234302282333374,41.324066162109375,60.1590690612793,-2.233302593231201,0.5226015448570251,0.5923585891723633,-0.328238844871521,-0.5179448127746582,0.5648998618125916,9.578764915466309,0.5008199214935303,-20.11480140686035,-16.00286102294922,-19.56526756286621,-0.23604069650173187,-0.2037675380706787,0.6463702321052551,0.6963970065116882
66.67,-1.3798578977584839,9.642203330993652,0.710442841053009,14.583155632019043,-21.14482879638672,-23.108230590820312,0.5208323001861572,0.40790659189224243,0.5766469240188599,0.47940534353256226,2.0499420166015625,8.75259780883789,6.186661720275879,73.07170104980469,-1.2108290195465088,-31.488637924194336,0.7711396813392639,0.45784884691238403,-0.3345757722854614,-0.2894376814365387,2.5412039756774902,9.03602409362793,-2.1118521690368652,-16.914325714111328,-10.859454154968262,-19.60993003845215,0.6165795922279358,0.7178730964660645,-0.3004167377948761,-0.11938275396823883,-1.4475728273391724,9.83900260925293,1.5278247594833374,37.736568450927734,59.305992126464844,3.5831830501556396,0.5223333835601807,0.5994305610656738,-0.32697391510009766,-0.510830283164978,0.4534432888031006,9.544168472290039,0.6797525882720947,-16.40761947631836,-20.423076629638672,-20.66888427734375,-0.23268648982048035,-0.20323103666305542,0.6446709632873535,0.6992518901824951
83.33,-1.42141854763031,9.575984001159668,0.5756317377090454,13.967373847961426,-21.027841567993164,-20.593847274780273,0.5231824517250061,0.4084635078907013,0.5773639678955078,0.4754929542541504,1.6943457126617432,8.89299488067627,6.087480545043945,60.986698150634766,-25.04544448852539,-38.42464065551758,0.7640734910964966,0.4657742381095886,-0.3372129499912262,-0.29245585203170776,2.4844136238098145,9.185395240783691,-1.9730665683746338,-17.67998504638672,-11.810407638549805,-19.267183303833008,0.6176969408988953,0.716806948184967,-0.2991669774055481,-0.12309371680021286,-1.6961382627487183,9.575377464294434,1.6115367412567139,32.976165771484375,48.67719650268555,6.769872188568115,0.5221661329269409,0.6051470637321472,-0.32641226053237915,-0.5045821070671082,0.4986523985862732,9.634078025817871,0.4854414165019989,-19.578386306762695,-21.586429595947266,-20.475126266479492,-0.22933121025562286,-0.2024461030960083,0.6426787376403809,0.702414870262146
100.00,-1.518419861793518,9.641005516052246,0.32419195771217346,14.18450927734375,-21.006738662719727,-17.98611831665039,0.5253267884254456,0.40924596786499023,0.5779309868812561,0.4717525541782379,2.006614923477173,8.963302612304688,5.266656875610352,51.8430290222168,-57.85400390625,-40.621063232421875,0.7558121085166931,0.471326619386673,-0.3429078757762909,-0.29834604263305664,2.268430709838867,9.233406066894531,-1.863769292831421,-19.28554916381836,-11.775359153747559,-18.749910354614258,0.6189812421798706,0.7155616283416748,-0.2979336977005005,-0.12682199478149414,-1.7483317852020264,9.482558250427246,1.0442492961883545,29.21194839477539,37.24315643310547,5.854771137237549,0.5216895341873169,0.6097460389137268,-0.3263428211212158,-0.49955862760543823,0.5401953458786011,9.762022018432617,0.5145732164382935,-22.96645736694336,-21.847639083862305,-20.5764217376709,-0.2260352075099945,-0.20152594149112701,0.6403282284736633,0.7058859467506409
116.67,-1.6387321949005127,9.833405494689941,0.16220059990882874,13.929885864257812,-20.108409881591797,-15.61937427520752,0.5272387266159058,0.41013893485069275,0.5783976316452026,0.46825939416885376,2.526287078857422,8.983294486999512,4.34929895401001,46.4372444152832,-81.74853515625,-40.54399871826172,0.7465859055519104,0.47515180706977844,-0.3509329855442047,-0.30607759952545166,2.0695607662200928,9.330191612243652,-1.8008140325546265,-20.069913864135742,-10.775217056274414,-18.206981658935547,0.6203891634941101,0.7142273783683777,-0.29664701223373413,-0.13042894005775452,-1.5077053308486938,9.786700248718262,0.7996147871017456,24.763702392578125,28.11347770690918,10.311287879943848,0.5214778184890747,0.6131088137626648,-0.3270255923271179,-0.4951983392238617,0.67375648021698,9.84658145904541,0.640713632106781,-22.703813552856445,-25.38546371459961,-20.23177719116211,-0.22243013978004456,-0.2002124786376953,0.6381115317344666,0.709403395652771
133.33,-1.7515145540237427,9.886016845703125,0.12696890532970428,14.21381664276123,-20.663951873779297,-14.034071922302246,0.529063880443573,0.41121819615364075,0.578736424446106,0.46482282876968384,2.2559940814971924,8.723052978515625,3.4822609424591064,46.01633834838867,-92.611083984375,-41.84383010864258,0.7365942001342773,0.47839775681495667,-0.3599425256252289,-0.3146473169326782,2.0993688106536865,9.414298057556152,-1.82371187210083,-20.017391204833984,-9.584554672241211,-17.742633819580078,0.6218406558036804,0.7128875255584717,-0.2952968180179596,-0.13386563956737518,-1.6572483777999878,9.832511901855469,0.8224207162857056,18.686464309692383,22.123485565185547,16.911983489990234,0.5219849944114685,0.6152486801147461,-0.32830479741096497,-0.49114716053009033,0.7649455666542053,9.92640495300293,0.734748363494873,-20.498882293701172,-25.40296745300293,-19.383724212646484,-0.2188412845134735,-0.19888484477996826,0.6361278891563416,0.7126671075820923
150.00,-1.61538827419281,9.78848648071289,0.05509161949157715,14.47899341583252,-17.254457473754883,-13.234843254089355,0.5305241346359253,0.41214847564697266,0.5792991518974304,0.4616226553916931,2.1148853302001953,9.402173042297363,3.5254950523376465,47.08604049682617,-98.74165344238281,-45.58082962036133,0.7258286476135254,0.481538325548172,-0.36929625272750854,-0.3238994777202606,2.1515064239501953,9.487276077270508,-1.8892686367034912,-17.975292205810547,-9.680790901184082,-17.715167999267578,0.6230665445327759,0.7117174863815308,-0.2939929962158203,-0.13721990585327148,-2.392202377319336,9.749801635742188,1.2094252109527588,13.526235580444336,12.654645919799805,19.398805618286133,0.5226696729660034,0.6161899566650391,-0.33015063405036926,-0.4879915118217468,0.6783038973808289,9.716131210327148,0.921280562877655,-17.83942985534668,-20.271621704101562,-19.318939208984375,-0.21565069258213043,-0.1981620490550995,0.6342422366142273,0.7155159115791321
