Time_ms,LFA_AccX,LFA_AccY,LFA_AccZ,LFA_GyrX,LFA_GyrY,LFA_GyrZ,LFA_QuatW,LFA_QuatX,LFA_QuatY,LFA_QuatZ,RFA_AccX,RFA_AccY,RFA_AccZ,RFA_GyrX,RFA_GyrY,RFA_GyrZ,RFA_QuatW,RFA_QuatX,RFA_QuatY,RFA_QuatZ,LA_AccX,LA_AccY,LA_AccZ,LA_GyrX,LA_GyrY,LA_GyrZ,LA_QuatW,LA_QuatX,LA_QuatY,LA_QuatZ,RA_AccX,RA_AccY,RA_AccZ,RA_GyrX,RA_GyrY,RA_GyrZ,RA_QuatW,RA_QuatX,RA_QuatY,RA_QuatZ,W_AccX,W_AccY,W_AccZ,W_GyrX,W_GyrY,W_GyrZ,W_QuatW,W_QuatX,W_QuatY,W_QuatZ
0.00,1.1003371477127075,-8.95883846282959,0.9753897786140442,24.238351821899414,-13.107919692993164,-36.251991271972656,0.26998427510261536,-0.15892904996871948,-0.6540462970733643,0.6885300278663635,-2.2969353199005127,-6.6454033851623535,5.528650283813477,-133.14532470703125,-77.58951568603516,-25.738407135009766,0.2841249704360962,-0.3321688771247864,-0.4227028489112854,0.7938901782035828,-4.102663040161133,-8.088107109069824,-2.1603050231933594,27.18797492980957,-27.38300132751465,-55.48197937011719,0.2672346234321594,0.02305513434112072,0.7798718214035034,-0.5655666589736938,-0.672680139541626,-9.247900009155273,3.838834524154663,-45.996910095214844,-96.0716781616211,-30.596040725708008,0.5577496886253357,-0.34098368883132935,-0.48246097564697266,0.5829960703849792,-0.44602328538894653,-9.403130531311035,0.18212643265724182,26.58580207824707,-31.79559326171875,-10.636574745178223,0.5571994781494141,-0.5257632732391357,0.4724590480327606,-0.43578141927719116
16.67,1.1003371477127075,-8.95883846282959,0.9753897786140442,24.238351821899414,-13.107919692993164,-36.251991271972656,0.26998427510261536,-0.15892904996871948,-0.6540462970733643,0.6885300278663635,-3.7514474391937256,-7.140451908111572,6.680440902709961,-127.69751739501953,-83.36570739746094,-31.968318939208984,0.27677685022354126,-0.32573968172073364,-0.4421941339969635,0.7885145545005798,-4.102663040161133,-8.088107109069824,-2.1603050231933594,27.18797492980957,-27.38300132751465,-55.48197937011719,0.2672346234321594,0.02305513434112072,0.7798718214035034,-0.5655666589736938,-0.672680139541626,-9.247900009155273,3.838834524154663,-45.996910095214844,-96.0716781616211,-30.596040725708008,0.5577496886253357,-0.34098368883132935,-0.48246097564697266,0.5829960703849792,-0.44602328538894653,-9.403130531311035,0.18212643265724182,26.58580207824707,-31.79559326171875,-10.636574745178223,0.5571994781494141,-0.5257632732391357,0.4724590480327606,-0.43578141927719116
33.33,1.0329437255859375,-9.152453422546387,1.056005597114563,24.55060386657715,-13.337254524230957,-35.065208435058594,0.2730017304420471,-0.15336690843105316,-0.6529415845870972,0.689649224281311,-3.7514474391937256,-7.140451908111572,6.680440902709961,-127.69751739501953,-83.36570739746094,-31.968318939208984,0.27677685022354126,-0.32573968172073364,-0.4421941339969635,0.7885145545005798,-3.964982271194458,-8.557244300842285,-2.0752205848693848,27.182327270507812,-29.01580238342285,-57.20294189453125,0.26573580503463745,0.01526516955345869,0.7767550349235535,-0.5708014965057373,-0.49181973934173584,-7.9937896728515625,2.9631683826446533,-34.37044143676758,-92.34246063232422,-24.298023223876953,0.5514783263206482,-0.3340548872947693,-0.4941093623638153,0.5832173824310303,-0.6763610243797302,-9.217080116271973,0.09760382771492004,24.024843215942383,-31.194496154785156,-7.7791852951049805,0.5605518817901611,-0.5263162851333618,0.46791595220565796,-0.4357166290283203
50.00,1.1952917575836182,-9.345186233520508,1.1209338903427124,25.176197052001953,-21.58087921142578,-33.67931365966797,0.27509909868240356,-0.14707794785499573,-0.6520413160324097,0.6910360455513,-3.5380327701568604,-7.820021629333496,6.5988945960998535,-116.219482421875,-95.5517807006836,-34.066429138183594,0.2692906856536865,-0.3171531558036804,-0.46073734760284424,0.7839770317077637,-3.7348248958587646,-9.0606050491333,-1.8049441576004028,27.761137008666992,-31.09843635559082,-58.93407440185547,0.26429954171180725,0.007127733435481787,0.7734329700469971,-0.5761142373085022,-0.5045045614242554,-8.401642799377441,2.540789842605591,-24.585420608520508,-102.4531021118164,-9.163867950439453,0.5435433387756348,-0.32649287581443787,-0.504888117313385,0.5857120752334595,-0.9251641035079956,-9.388413429260254,-0.2613367736339569,25.006473541259766,-36.8839225769043,-4.8980913162231445,0.5645284056663513,-0.5269348621368408,0.4630501866340637,-0.43503251671791077
66.67,1.6576058864593506,-9.523573875427246,1.051120638847351,25.368518829345703,-28.83436393737793,-31.922809600830078,0.27632248401641846,-0.14021150767803192,-0.6513422727584839,0.6926326751708984,-2.715324878692627,-8.442765235900879,5.928115367889404,-106.78587341308594,-87.66001892089844,-37.367794036865234,0.2630205452442169,-0.3087295591831207,-0.4778355360031128,0.7792187929153442,-3.4799015522003174,-9.04061508178711,-1.6509678363800049,27.90944480895996,-33.33161544799805,-60.6400260925293,0.26294058561325073,-0.001381975831463933,0.7699283361434937,-0.5814481377601624,-0.8042227625846863,-9.156021118164062,2.7412664890289307,-19.864341735839844,-109.88439178466797,5.005268096923828,0.5339398384094238,-0.3188808262348175,-0.515049159526825,0.5898770689964294,-1.0449577569961548,-9.687524795532227,-0.40565866231918335,32.43800354003906,-37.200462341308594,-5.0146002769470215,0.5690630674362183,-0.5269480347633362,0.4576580822467804,-0.43481430411338806
83.33,2.0372703075408936,-9.517900466918945,1.0806363821029663,24.478614807128906,-25.33418083190918,-29.36763572692871,0.27758872509002686,-0.13396872580051422,-0.6505091190338135,0.6941433548927307,-1.977146863937378,-9.251479148864746,5.0271735191345215,-100.92008972167969,-62.17741775512695,-40.974788665771484,0.25909435749053955,-0.3026023209095001,-0.4932761490345001,0.7732935547828674,-3.2265288829803467,-8.795782089233398,-1.4370173215866089,28.631132125854492,-28.711746215820312,-62.52207565307617,0.26087361574172974,-0.009682146832346916,0.7664505839347839,-0.5868698358535767,0.04572668671607971,-9.563755989074707,3.037172317504883,-22.632410049438477,-106.01185607910156,12.592251777648926,0.5237053036689758,-0.3122996389865875,-0.5246588587760925,0.5940893888473511,-1.059299349784851,-9.8340482711792,0.057147324085235596,34.05344009399414,-34.65694808959961,-6.619696617126465,0.5734226107597351,-0.5267482995986938,0.45222848653793335,-0.43500998616218567
100.00,2.0000529289245605,-9.142221450805664,1.1893012523651123,23.009971618652344,-15.900840759277344,-25.604942321777344,0.2793291211128235,-0.12908902764320374,-0.649346113204956,0.6954575181007385,-1.4707444906234741,-9.583076477050781,3.9282665252685547,-97.49899291992188,-24.34705352783203,-42.20756149291992,0.2580968737602234,-0.30042508244514465,-0.5068191289901733,0.7656812071800232,-3.0700297355651855,-8.42928695678711,-1.2079075574874878,31.003984451293945,-23.313777923583984,-64.0384750366211,0.25804704427719116,-0.017597462981939316,0.7628846764564514,-0.5925543308258057,1.5036158561706543,-9.781590461730957,2.994032859802246,-26.38837242126465,-87.2042007446289,13.82826042175293,0.51451176404953,-0.3076539933681488,-0.5329883098602295,0.5971245765686035,-0.9236093163490295,-9.70601749420166,0.43541067838668823,25.230546951293945,-34.41190719604492,-5.969052791595459,0.5771064758300781,-0.5272040367126465,0.44740769267082214,-0.4345710277557373
116.67,1.6119285821914673,-8.684991836547852,1.3211350440979004,20.28196144104004,-8.274004936218262,-21.445659637451172,0.28131094574928284,-0.12548105418682098,-0.6480549573898315,0.6965225338935852,-1.4031656980514526,-9.148969650268555,3.151337146759033,-94.8664321899414,15.075529098510742,-40.89704513549805,0.2599131166934967,-0.30256399512290955,-0.5184113383293152,0.7564074397087097,-2.8843131065368652,-8.415579795837402,-1.0860676765441895,34.55045700073242,-19.665115356445312,-63.60089874267578,0.25483188033103943,-0.025014054030179977,0.7590627670288086,-0.5985568165779114,2.3217086791992188,-9.117209434509277,2.5174708366394043,-30.6346492767334,-52.0953254699707,11.912516593933105,0.5079472064971924,-0.3061850666999817,-0.539073646068573,0.5980363488197327,-0.7314860820770264,-9.400253295898438,0.34005674719810486,18.994789123535156,-32.84209060668945,-4.649971008300781,0.5802745819091797,-0.5279812216758728,0.4431985318660736,-0.43372100591659546
133.33,1.4061294794082642,-8.447834014892578,1.336304783821106,17.53725814819336,-8.109321594238281,-18.325023651123047,0.28293707966804504,-0.12229394167661667,-0.6469669342041016,0.697441577911377,-1.8208727836608887,-8.623926162719727,2.7829971313476562,-91.12995910644531,43.05604934692383,-37.574058532714844,0.2635764479637146,-0.3078187108039856,-0.5282663106918335,0.7461315989494324,-2.7023956775665283,-8.871769905090332,-1.1435136795043945,36.72637939453125,-20.071290969848633,-62.433189392089844,0.25173768401145935,-0.03224899247288704,0.7549526691436768,-0.6046868562698364,2.1119847297668457,-8.343183517456055,2.0265305042266846,-36.44867706298828,-23.76314353942871,10.6530179977417,0.5034233927726746,-0.30749204754829407,-0.5435934662818909,0.5970990657806396,-0.6592891216278076,-8.943846702575684,0.182796910405159,21.92470359802246,-29.33812141418457,-2.621561288833618,0.5835534334182739,-0.5281450152397156,0.4392433762550354,-0.4331454932689667
150.00,1.4153517484664917,-8.685054779052734,1.4558794498443604,16.244361877441406,-13.977883338928223,-15.504351615905762,0.2836974859237671,-0.11882820725440979,-0.6461919546127319,0.698449432849884,-2.3561673164367676,-8.417885780334473,3.2606818675994873,-87.41358947753906,51.12097930908203,-34.142822265625,0.2675895392894745,-0.31399500370025635,-0.5371270775794983,0.7357308268547058,-2.729674816131592,-9.473970413208008,-1.4410783052444458,36.07228469848633,-22.434846878051758,-63.926883697509766,0.24873760342597961,-0.03987512364983559,0.7507168054580688,-0.6107170581817627,1.3685485124588013,-8.065293312072754,1.784238576889038,-38.220706939697266,-10.281113624572754,11.042461395263672,0.4998333156108856,-0.3101181983947754,-0.5472408533096313,0.595422625541687,-0.7033441662788391,-8.926153182983398,0.1362823098897934,21.12774658203125,-24.449935913085938,-1.2238433361053467,0.586532711982727,-0.5279667973518372,0.43585044145584106,-0.4327659606933594
